2026-05-11 23:02:05 | INFO    | build_dataset:4361 | Resume mode: 0 tickers done, 3 remaining, 0 accessions cached
2026-05-11 23:02:05 | INFO    | process_company:3784 | ══ AAPL (Apple Inc) ══
2026-05-11 23:08:26 | DEBUG   | _call_llm_once:3107 |     LLM OK — single-stage attempt 1/5 | llm_calls=41, throttled=3, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:08:26 | INFO    | build_multiyear_records:3717 |     ✓ 3yr 2023-06-30→2025-06-30: 2603 chars
2026-05-11 23:08:27 | INFO    | get_filings:2076 |   10-Q: 8 filings
2026-05-11 23:08:27 | INFO    | process_company:3811 |   ▶ 10-Q | 2023-12-31 | 0000950170-24-008814
2026-05-11 23:08:28 | DEBUG   | fetch_abnormal_return:1146 |   AR MSFT: stock=-0.76% SPY=+0.63% abnormal=-1.39%
2026-05-11 23:08:28 | INFO    | process_company:3828 |     AR: -1.39% (neutral)
2026-05-11 23:08:33 | INFO    | scrape_text_sections:2187 |     Strategy-1 sections: 2/5
2026-05-11 23:08:33 | INFO    | scrape_text_sections:2197 |     Strategy-2 Risk fallback: 160 chars
2026-05-11 23:08:33 | INFO    | scrape_text_sections:2206 |     Final sections: 3/5 | MD&A: poor (85 chars)
2026-05-11 23:08:33 | INFO    | enrich_thin_mda:1655 |     V18-7 Deep enrichment: 85 → 2294 chars
2026-05-11 23:08:33 | INFO    | process_company:3898 |     Metrics:43 | decum:False | text_sourced:0 | sections:3
2026-05-11 23:08:39 | DEBUG   | generate_analysis_v19:3187 |     Stage A: 576 chars, 0 connectors
2026-05-11 23:08:41 | WARNING | generate_analysis_v19:3253 |     V19-3 Auditor cycle 1: empty report — skipping
2026-05-11 23:08:41 | INFO    | generate_analysis_v19:3297 |     V18-3 Self-correction: causal=8 (need 3), missing=['gross_margin_delta']
2026-05-11 23:08:48 | DEBUG   | _call_llm_once:3107 |     LLM OK — Self-Correction attempt 1/5 | llm_calls=44, throttled=3, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:08:48 | INFO    | process_company:4064 |     ✓ FULL [10-Q|Q=80|tier=silver|auditor_cycles=1|causal=8]: 2215 chars
2026-05-11 23:08:48 | INFO    | process_company:3811 |   ▶ 10-Q | 2024-03-30 | 0000320193-24-000069
2026-05-11 23:08:49 | DEBUG   | fetch_abnormal_return:1146 |   AR AAPL: stock=-0.04% SPY=+1.87% abnormal=-1.91%
2026-05-11 23:08:49 | INFO    | process_company:3828 |     AR: -1.91% (neutral)
2026-05-11 23:08:49 | INFO    | scrape_text_sections:2187 |     Strategy-1 sections: 2/5
2026-05-11 23:08:49 | INFO    | scrape_text_sections:2206 |     Final sections: 2/5 | MD&A: poor (85 chars)
2026-05-11 23:08:49 | INFO    | enrich_thin_mda:1655 |     V18-7 Deep enrichment: 85 → 2193 chars
2026-05-11 23:08:49 | INFO    | process_company:3898 |     Metrics:46 | decum:False | text_sourced:0 | sections:2
2026-05-11 23:08:50 | DEBUG   | _call_llm_once:3107 |     LLM OK — Stage-B attempt 1/5 | llm_calls=45, throttled=3, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:08:50 | INFO    | generate_analysis_v19:3237 |     V19-3 Auditor cycle 1: score=80, causal=6, missing=['gross_margin_delta']
2026-05-11 23:09:06 | DEBUG   | generate_analysis_v19:3187 |     Stage A: 713 chars, 6 connectors
2026-05-11 23:09:21 | DEBUG   | _call_llm_once:3107 |     LLM OK — Auditor-1 attempt 1/5 | llm_calls=47, throttled=4, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:09:21 | INFO    | generate_analysis_v19:3263 |     V19-3 Auditor REJECTED: 6 violations | score_est=35
